Subject,Motion,Direction,Coupling,Type,Gain
9,2,2,1,0,0.47
10,2,2,1,0,0.0800000000000001
11,2,2,1,0,0.95
12,2,2,1,0,0.69
1,2,2,2,0,1.42
2,2,2,2,0,0.67
3,2,2,2,0,0
4,2,2,2,0,0.69
5,2,2,2,0,0
6,2,2,2,0,0.82
7,2,2,2,0,0.65
8,2,2,2,0,0.67
9,2,2,2,0,0.37
10,2,2,2,0,0.4
11,2,2,2,0,0.13
12,2,2,2,0,0.32
1,2,2,3,0,0.97
2,2,2,3,0,0.85
3,2,2,3,0,0
4,2,2,3,0,0.94
5,2,2,3,0,0
6,2,2,3,0,0.77
7,2,2,3,0,1.06
8,2,2,3,0,0.32
9,2,2,3,0,0.52
10,2,2,3,0,0.63
11,2,2,3,0,0.1
12,2,2,3,0,0.56
1,2,2,5,1,1.18
2,2,2,5,1,1.03
3,2,2,5,1,0
4,2,2,5,1,1.18
5,2,2,5,1,0
6,2,2,5,1,1.11
7,2,2,5,1,0.64
8,2,2,5,1,0.95
9,2,2,5,1,0.99
10,2,2,5,1,-0.28
11,2,2,5,1,0.7
12,2,2,5,1,1.76
1,2,2,6,1,0.99
2,2,2,6,1,0
3,2,2,6,1,0
4,2,2,6,1,1.56
5,2,2,6,1,0
6,2,2,6,1,0.83
7,2,2,6,1,0.98
8,2,2,6,1,1.1
9,2,2,6,1,0.87
10,2,2,6,1,1.1
11,2,2,6,1,1.16
12,2,2,6,1,1.03
1,2,2,7,1,1.36
2,2,2,7,1,1.14
3,2,2,7,1,0
4,2,2,7,1,1.21
5,2,2,7,1,0
6,2,2,7,1,0.62
7,2,2,7,1,1.19
8,2,2,7,1,0.95
9,2,2,7,1,0.93
10,2,2,7,1,1.21
11,2,2,7,1,0.59
12,2,2,7,1,0.84
1,3,2,1,0,0.87
2,3,2,1,0,0.42
3,3,2,1,0,0
4,3,2,1,0,0.68
5,3,2,1,0,0
6,3,2,1,0,1.14
7,3,2,1,0,0.65
8,3,2,1,0,0.33
9,3,2,1,0,0.4
10,3,2,1,0,0.2
11,3,2,1,0,0
12,3,2,1,0,0.02
1,3,2,2,0,0.73
2,3,2,2,0,1.28
3,3,2,2,0,0
4,3,2,2,0,0.63
5,3,2,2,0,0
6,3,2,2,0,0.6
7,3,2,2,0,0.57
8,3,2,2,0,-0.11
9,3,2,2,0,0.29
10,3,2,2,0,-0.16
11,3,2,2,0,-0.39
12,3,2,2,0,0.16
1,3,2,3,0,0.63
2,3,2,3,0,0
3,3,2,3,0,0
4,3,2,3,0,0.78
5,3,2,3,0,0
6,3,2,3,0,0.92
7,3,2,3,0,0.46
8,3,2,3,0,-0.51
9,3,2,3,0,0.64
10,3,2,3,0,0.11
11,3,2,3,0,0.0699999999999998
12,3,2,3,0,0.44
1,3,2,5,1,0.98
2,3,2,5,1,0
3,3,2,5,1,0
4,3,2,5,1,1.1
5,3,2,5,1,0
6,3,2,5,1,0.66
7,3,2,5,1,0.9
8,3,2,5,1,0.55
9,3,2,5,1,0.73
10,3,2,5,1,0.48
11,3,2,5,1,0.76
12,3,2,5,1,1.04
1,3,2,6,1,1.46
2,3,2,6,1,1.39
3,3,2,6,1,0
4,3,2,6,1,1.57
5,3,2,6,1,0
6,3,2,6,1,0.9
7,3,2,6,1,0.57
8,3,2,6,1,0.52
9,3,2,6,1,1.19
10,3,2,6,1,0.3
11,3,2,6,1,0.96
12,3,2,6,1,0.98
1,3,2,7,1,1.01
2,3,2,7,1,0
3,3,2,7,1,0
4,3,2,7,1,1.34
5,3,2,7,1,0
6,3,2,7,1,1.56
7,3,2,7,1,1.19
8,3,2,7,1,0.94
9,3,2,7,1,0.97
10,3,2,7,1,-0.1
11,3,2,7,1,1.46
12,3,2,7,1,1.4
